left_out_worker,2,2,4,4,8,8
left_out_comm_type,AR,PS,AR,PS,AR,PS
model,,,,,,
alexnet,2.6226301209472638,0.6020002412304706,63.04995344648438,0.03900436972656962,348.5628662179688,74.16775604296873
bert,1314.222094,,2542.19277,,4473.800627,
densenet100_k12,1.0812425601562552,0.49346352304687,0.22927282226561374,0.13298315859373133,168.5404844316406,288.01597972070317
densenet40_k12,0.6466093022070325,0.010468486298826463,0.04666996271484436,0.05465507057617458,101.96743587416992,35.82958698525391
googlenet,14.043128044531272,5.454969446874998,1.0418622421875625,6.026348601562404,1275.9395677578127,1199.3580832421876
gpt2,1856.415268,,2835.220159,,4848.297744,
inception3,15.691125640624932,0.29166320312492644,690.998305109375,6.289417421874987,3079.018679046875,1603.73869296875
resnet110,1.9762544416015686,1.404649750585932,0.2532158050781277,0.1298799648437523,174.20684147343752,202.21498204687498
resnet44,0.0740728377636728,0.3865222893164031,2.310891147656264,0.5236578487304655,168.6929521748047,93.52339555468751
resnet50,32.808863132812576,15.636372734375072,0.38390815625007235,7.153234609374977,3714.527832734375,2495.3047661562496
resnet56,0.5313434607617182,0.6005287447265601,5.532100667773449,0.782249411328138,157.10004423671876,114.45074658457031
vgg16,13.259007250000195,37.46625289062513,106.85721378124981,4.740099781250137,8571.21075546875,903.04991828125
