Job ID,Data Set,Model,Sync/Async,Batch Size,Sum of Max TX+RX (B/s),Sum of Max TX+RX (MB/s),Number of Workers,Number of PSs,tensorsize,calculated communicated volume
0,cifar10,alexnet,sync,8192,69729351,66.49909115,2,0,6.7,10.05
1,cifar10,alexnet,sync,16384,334788156,319.2788658,4,0,6.7,8.375
2,cifar10,alexnet,sync,32768,581586112,554.6437378,8,0,6.7,7.5375
3,cifar10,resnet110,sync,2048,109824557,104.7368593,2,0,6.6,9.9
4,cifar10,resnet110,sync,4096,263741708,251.5236931,4,0,6.6,8.25
5,cifar10,resnet110,sync,8192,424978873,405.2914362,8,0,6.6,7.425
6,cifar10,resnet44,sync,2048,63798651,60.84313488,2,0,2.5,3.75
7,cifar10,resnet44,sync,4096,178193705,169.9387598,4,0,2.5,3.125
8,cifar10,resnet44,sync,8192,322160805,307.2364855,8,0,2.5,2.8125
9,cifar10,resnet56,sync,2048,47503318,45.30269432,2,0,3.3,4.95
10,cifar10,resnet56,sync,4096,198363404,189.1740837,4,0,3.3,4.125
11,cifar10,resnet56,sync,8192,329475848,314.2126541,8,0,3.3,3.7125
12,cifar10,densenet40_k12,sync,2048,24163323,23.04394054,2,0,1.3,1.95
13,cifar10,densenet40_k12,sync,4096,69578705,66.35542393,4,0,1.3,1.625
14,cifar10,densenet40_k12,sync,8192,163882610,156.2906361,8,0,1.3,1.4625
15,imagenet,googlenet,sync,512,675291495,644.0081549,2,0,26.7,40.05
16,imagenet,googlenet,sync,1024,1560573944,1488.279289,4,0,26.7,33.375
17,imagenet,googlenet,sync,2048,2733407224,2606.780266,8,0,26.7,30.0375
18,cifar10,densenet100_k12,sync,256,155690117,148.4776659,2,0,8.5,12.75
19,cifar10,densenet100_k12,sync,512,320007302,305.182745,4,0,8.5,10.625
20,cifar10,densenet100_k12,sync,1024,499957555,476.7966795,8,0,8.5,9.5625
21,imagenet,vgg16,sync,256,3148720923,3002.854274,2,0,527.8,791.7
22,imagenet,vgg16,sync,512,6324688166,6031.692663,4,0,527.8,659.75
23,imagenet,vgg16,sync,1024,13632926016,13001.3714,8,0,527.8,593.775
24,imagenet,resnet50,sync,256,1484092262,1415.340673,2,0,97.5,146.25
25,imagenet,resnet50,sync,512,4404352387,4200.317752,4,0,97.5,121.875
26,imagenet,resnet50,sync,1024,7620197121,7267.18628,8,0,97.5,109.6875
27,imagenet,inception3,sync,128,1955343834,1864.761194,2,0,90.9,136.35
28,imagenet,inception3,sync,256,4603521551,4390.260268,4,0,90.9,113.625
29,imagenet,inception3,sync,512,6667985282,6359.086306,8,0,90.9,102.2625
30,squad,bert,sync,8,1378586034,1314.722094,2,0,1560.0,2340.0
31,squad,bert,sync,16,2666206614,2542.69277,4,0,1560.0,1950.0
32,squad,bert,sync,32,4691644254,4474.300627,8,0,1560.0,1755.0
33,squad,gpt2,sync,8,1947116784,1856.915268,2,0,4000.0,6000.0
34,squad,gpt2,sync,16,2973468101,2835.720159,4,0,4000.0,5000.0
35,squad,gpt2,sync,32,5084332943,4848.797744,8,0,4000.0,4500.0
36,cifar10,alexnet,sync,8192,84975405,81.03886127,2,2,6.7,6.7
37,cifar10,alexnet,sync,16384,228965939,218.3589354,4,4,6.7,6.7
38,cifar10,alexnet,sync,32768,338088545,322.426362,8,8,6.7,6.7
39,cifar10,resnet110,sync,2048,115722882,110.3619404,2,2,6.6,6.6
40,cifar10,resnet110,sync,4096,258757693,246.770566,4,4,6.6,6.6
41,cifar10,resnet110,sync,8192,445867409,425.2122965,8,8,6.6,6.6
42,cifar10,resnet44,sync,2048,89256778,85.12189674,2,2,2.5,2.5
43,cifar10,resnet44,sync,4096,130409455,124.3681479,4,4,2.5,2.5
44,cifar10,resnet44,sync,8192,255137876,243.3184395,8,8,2.5,2.5
45,cifar10,resnet56,sync,2048,105471436,100.5853996,2,2,3.3,3.3
46,cifar10,resnet56,sync,4096,169790968,161.9252853,4,4,3.3,3.3
47,cifar10,resnet56,sync,8192,289465586,276.0558949,8,8,3.3,3.3
48,cifar10,densenet40_k12,sync,2048,29066829,27.72028828,2,2,1.3,1.3
49,cifar10,densenet40_k12,sync,4096,52300146,49.87730598,4,4,1.3,1.3
50,cifar10,densenet40_k12,sync,8192,105070741,100.2032671,8,8,1.3,1.3
51,imagenet,googlenet,sync,512,837165938,798.3836536,2,2,26.7,26.7
52,imagenet,googlenet,sync,1024,1137072492,1084.396832,4,4,26.7,26.7
53,imagenet,googlenet,sync,2048,2647738166,2525.079885,8,8,26.7,26.7
54,cifar10,densenet100_k12,sync,256,175463334,167.3348751,2,2,8.5,8.5
55,cifar10,densenet100_k12,sync,512,343053581,327.1613894,4,4,8.5,8.5
56,cifar10,densenet100_k12,sync,1024,599235668,571.475666,8,8,8.5,8.5
57,imagenet,vgg16,sync,256,2217851706,2115.10821,2,2,527.8,527.8
58,imagenet,vgg16,sync,512,4434261363,4228.841174,4,4,527.8,527.8
59,imagenet,vgg16,sync,1024,6869240439,6551.01818,8,8,527.8,527.8
60,imagenet,resnet50,sync,256,2263222379,2158.377055,2,2,97.5,97.5
61,imagenet,resnet50,sync,512,3701294246,3529.82926,4,4,97.5,97.5
62,imagenet,resnet50,sync,1024,6518597202,6216.618731,8,8,97.5,97.5
63,imagenet,inception3,sync,128,1812678055,1728.704505,2,2,90.9,90.9
64,imagenet,inception3,sync,256,3300745612,3147.836315,4,4,90.9,90.9
65,imagenet,inception3,sync,512,5323244464,5076.641525,8,8,90.9,90.9
